District,Constituency,Name,Political Party,Votes
,INDUSTRIAL DIVISION,MUSAALO  MICHEAL,ANT,347
MBALE CITY,NORTHERN DIVISION,WAMBEDE  SETH KIZANGI MASSA,NRM,9854
,NORTHERN DIVISION,MASABA  IVAN,NUP,9413
MBALE CITY,NORTHERN DIVISION,SIZOMU  GERSHOM RABBI WAMBEDE,INDEPENDENT,7529
,NORTHERN DIVISION,NANGOLI  UMAR,INDEPENDENT,4836
,NORTHERN DIVISION,WANYOTO  PAUL MUGOYA,FDC,4135
,NORTHERN DIVISION,MASHATE  PETER MAGOMU,INDEPENDENT,4027
,NORTHERN DIVISION,ARYAMPA  JACKSON,INDEPENDENT,1052
,NORTHERN DIVISION,MAGALA  MAFABI IMANI,INDEPENDENT,686
,NORTHERN DIVISION,WEBISA  DENIS,INDEPENDENT,535
,NORTHERN DIVISION,WANDERA  MOHAMED,ANT,161
MBARARA,KASHARI NORTH COUNTY,BATARINGAYA  BASIL RWANKWENE,NRM,13995
,KASHARI NORTH COUNTY,YAGUMA  WILBERFORCE RUTASHOKWA,INDEPENDENT,7018
,KASHARI NORTH COUNTY,MWESIGYE  FRED,INDEPENDENT,1248
,KASHARI NORTH COUNTY,KARUHANGA  INNOCENT KABWISHO,INDEPENDENT,1029
,KASHARI NORTH COUNTY,MUHAME  DAVID,INDEPENDENT,304
,KASHARI NORTH COUNTY,AGABA  ELISA,INDEPENDENT,164
,KASHARI NORTH COUNTY,ATUHAIRWE  ROBERT,INDEPENDENT,61
MBARARA,KASHARI SOUTH COUNTY,TWESIGYE  NATHAN ITUNGO,INDEPENDENT,10252
,KASHARI SOUTH COUNTY,MWEBEMBEZI  ABEL,NRM,8593
MBARARA,KASHARI SOUTH COUNTY,KAZOORA  JOHN BASHAIJA,INDEPENDENT,4750
,KASHARI SOUTH COUNTY,NUWAGIRA  DANIEL,ANT,588
,KASHARI SOUTH COUNTY,ARINAITWE  KAREGYEYA ARTHUR,INDEPENDENT,432
,KASHARI SOUTH COUNTY,TWINOMUJUNI  IVAN,FDC,154
MBARARA CITY,MBARARA NORTH DIVISION,MWESIGWA  ROBERT RUKAARI,NRM,9004
,MBARARA NORTH DIVISION,TUMUSIIME  APOLLO RUTAABA,INDEPENDENT,3234
,MBARARA NORTH DIVISION,KAJUBI  BENON MAISHO,INDEPENDENT,3212
,MBARARA NORTH DIVISION,AKORAGYE  EDWIN BARYAH,INDEPENDENT,1265
,MBARARA NORTH DIVISION,MUKALAZI  DEUS MUBIRU,NUP,1074
,MBARARA NORTH DIVISION,AGABA  ANTHONY,FDC,964
,MBARARA NORTH DIVISION,MUGISHA  OTATIINA CELESTIN,ANT,300
,MBARARA NORTH DIVISION,NASASIRA  HAPPY,INDEPENDENT,217
,MBARARA NORTH DIVISION,AHEREZA  TITUS,INDEPENDENT,90
,MBARARA NORTH DIVISION,BWENGYE  DEUSDEDIT,INDEPENDENT,45
MBARARA CITY,MBARARA SOUTH DIVISION,MWINE  MPAKA RWAMIRAMA,NRM,15770
,MBARARA SOUTH DIVISION,MBAREEBAKI  EMMY,INDEPENDENT,11269
,MBARARA SOUTH DIVISION,MUHUMUZA  BRIGHT,NUP,2250
MBARARA CITY,MBARARA SOUTH DIVISION,RUTAHABA  NICODEMUS KASHAIJA,FDC,999
,MBARARA SOUTH DIVISION,NAMBAALE  MUZAFARU,INDEPENDENT,491
,MBARARA SOUTH DIVISION,MANZI  MUNANURA,INDEPENDENT,267
,MBARARA SOUTH DIVISION,SEKAMATE  NASWIRU NESTROY TAUBA,ANT,255
,MBARARA SOUTH DIVISION,SEKITTO  UMARU HAGGAI,INDEPENDENT,167
,MBARARA SOUTH DIVISION,TIBEZAARA  FRANCIS RWABUTEERA,INDEPENDENT,91
,MBARARA SOUTH DIVISION,TUSIIME  JACKSON,INDEPENDENT,50
MITOOMA,RUHINDA COUNTY,OTAFIIRE  KAHINDA,NRM,14918
,RUHINDA COUNTY,YEKWATSE  ALEX,INDEPENDENT,5746
,RUHINDA COUNTY,TWETEGIRE  BENEDICT,INDEPENDENT,1377
,RUHINDA COUNTY,AKAMPA  AUDREY,FDC,264
,RUHINDA COUNTY,TAYEBWA  ISACK,INDEPENDENT,216
,RUHINDA COUNTY,KAHEMBA  BABI SPERATO,ANT,61
,RUHINDA COUNTY,TUGUME  INNOCENT,INDEPENDENT,25
MITOOMA,RUHINDA NORTH COUNTY,TAYEBWA  THOMAS,NRM,18341
,RUHINDA NORTH COUNTY,TWIMUKYE  MOSES,INDEPENDENT,2297
,RUHINDA NORTH COUNTY,ATUHAMIZE  YORAM,ANT,569
MITOOMA,RUHINDA NORTH COUNTY,NUWAHEREZA  NELSON,FDC,545
,RUHINDA NORTH COUNTY,KAPERE  NATHAN BURGESS,INDEPENDENT,376
MITOOMA,RUHINDA SOUTH COUNTY,MUGABE  DONONZIO KAHONDA,NRM,16551
,RUHINDA SOUTH COUNTY,ATUHWEREIRE  ARTHUR KAZOORA,INDEPENDENT,3337
,RUHINDA SOUTH COUNTY,ATWIINE  VICTOR,FDC,765
,RUHINDA SOUTH COUNTY,BYARUHANGA  DIDAS KAGINDA,INDEPENDENT,389
MITYANA,BUSUJJU COUNTY,LUKYAMUZI  DAVID KALWANGA,NUP,19174
,BUSUJJU COUNTY,NYANZI  VINCENT MAKUMBI,NRM,10198
,BUSUJJU COUNTY,KATO  GODFREY,INDEPENDENT,133
,BUSUJJU COUNTY,MUGAMBWA  ROBERT,DP,72
MITYANA,MITYANA COUNTY NORTH,NSEGUMIRE  MUHAMAD KIBEDI,NRM,13784
,MITYANA COUNTY NORTH,SEMATIKO  GORDON KATENDE,NUP,13557
,MITYANA COUNTY NORTH,KINTU  FREDDIE GRACE,INDEPENDENT,551
,MITYANA COUNTY NORTH,SHINGIRO  DIDAS KAYONGA,INDEPENDENT,488
,MITYANA COUNTY NORTH,MUTYABA  BYRON,INDEPENDENT,406
,MITYANA COUNTY NORTH,KASULE  ONESIMU,INDEPENDENT,332
,MITYANA COUNTY NORTH,LUBEGA  JAMES,DP,217
MITYANA,MITYANA COUNTY NORTH,KEEYA  WATSON RONALD,INDEPENDENT,144
MITYANA,MITYANA COUNTY SOUTH,LUMU  RICHARD KIZITO,DP,9252
,MITYANA COUNTY SOUTH,MAKUMBI  HENRY KAMYA,NRM,6032
,MITYANA COUNTY SOUTH,KAZUNGU  APOLLO,INDEPENDENT,3377
,MITYANA COUNTY SOUTH,BUYONDO  SULAIMAN,NUP,610
MITYANA,MITYANA MUNICIPALITY,ZAAKE  FRANCIS,NUP,23977
,MITYANA MUNICIPALITY,BUGEMBE  JOHN MARY KAMYA,NRM,6590
,MITYANA MUNICIPALITY,KIZZA  DAVID MARTIN SSEMAMBO,INDEPENDENT,2753
,MITYANA MUNICIPALITY,LUZZI  ABRAHAM,DP,836
,MITYANA MUNICIPALITY,KAYONDO BAGENDA  JOHN EDWARD SUISSE,INDEPENDENT,453
,MITYANA MUNICIPALITY,NAMULI  JANAT,ANT,201
,MITYANA MUNICIPALITY,KATAMBA  TOM,INDEPENDENT,114
,MITYANA MUNICIPALITY,MANANA  GEOFREY,FDC,80
,MITYANA MUNICIPALITY,NANZIGE  GRACE,INDEPENDENT,59
MOROTO,MATHENIKO COUNTY,LOKII  JOHN BAPTIST,NRM,6794
,MATHENIKO COUNTY,OLOO  PAUL,INDEPENDENT,6602
,MATHENIKO COUNTY,ABURA  SAMUEL PIRIR,INDEPENDENT,1723
MOROTO,MOROTO MUNICIPALITY,ADOME  FRANCI LORIKA,NRM,1935
,MOROTO MUNICIPALITY,ANGELLA  FRED,INDEPENDENT,1911
MOROTO,TEPETH COUNTY,LOKORU  ALBERT,NRM,3896
,TEPETH COUNTY,IRIAMA  MARGRARET,INDEPENDENT,1313
,TEPETH COUNTY,LOGIT  ROBERT,INDEPENDENT,718
,TEPETH COUNTY,AKOL  MICHAEL,INDEPENDENT,0
MOYO,WEST MOYO COUNTY,ALERO  TOM AZA,NRM,14316
,WEST MOYO COUNTY,VUKONI  JIMMY OKUDI,INDEPENDENT,7403
,WEST MOYO COUNTY,DRAIKO  CHRISTOPHER VUNNI,INDEPENDENT,2701
,WEST MOYO COUNTY,MANZU  ROBINSON MIKE,INDEPENDENT,560
MPIGI,MAWOKOTA COUNTY NORTH,KIYAGA  HILLARY INNOCENT,NUP,31817
,MAWOKOTA COUNTY NORTH,KYAMBADDE  AMELIA ANNE,NRM,12519
,MAWOKOTA COUNTY NORTH,TEBUSWEKE  DAVID MAYINJA,DP,2666
,MAWOKOTA COUNTY NORTH,MUGWANYA  JOSEPH ZZIMULA,INDEPENDENT,331
MPIGI,MAWOKOTA COUNTY SOUTH,NSIBAMBI  YUSUF,FDC,20597
,MAWOKOTA COUNTY SOUTH,NAKAWUKI  SUSAN NSAMBU,NRM,9640
,MAWOKOTA COUNTY SOUTH,KIYINGI BBOSA  KENNETH JOSEPH,INDEPENDENT,4648
MPIGI,MAWOKOTA COUNTY SOUTH,MIREMBE  JOEL,NUP,2048
,MAWOKOTA COUNTY SOUTH,WALAKIRA  JOSEPH,INDEPENDENT,1432
MUBENDE,BUWEKULA COUNTY,MBABAZI  PASCAL,NRM,15051
,BUWEKULA COUNTY,KAKOOZA  JOSEPH,INDEPENDENT,7225
,BUWEKULA COUNTY,BAGAYA  JOSEPH,FDC,3351
,BUWEKULA COUNTY,KYAMBADDE  LAWRENCE,INDEPENDENT,1582
,BUWEKULA COUNTY,NANNYANZI  HOPE FIRISTER,ANT,863
MUBENDE,BUWEKULA SOUTH COUNTY,MUSEVENI  WILLIAM,INDEPENDENT,8075
,BUWEKULA SOUTH COUNTY,TUMWESIGYE  FRED,NRM,7479
,BUWEKULA SOUTH COUNTY,AINEBYONA  RONALD,NUP,1107
MUBENDE,KASAMBYA COUNTY,KABANDA  DAVID,NRM,26378
,KASAMBYA COUNTY,KIRIGWAJJO  BURUHAN SIMBWA,NUP,7784
,KASAMBYA COUNTY,MULINDWA  PATRICK,INDEPENDENT,6035
,KASAMBYA COUNTY,MUTABAZI  FRED,INDEPENDENT,4819
,KASAMBYA COUNTY,MUHUMUZA  HENRY,INDEPENDENT,1972
,KASAMBYA COUNTY,NAKATUDDE  YUDAYAH SSEBAYIGA,ANT,376
MUBENDE,MUBENDE MUNICIPALITY,LUBEGA  BASHIR SSEMPA,NRM,9993
MUBENDE,MUBENDE MUNICIPALITY,KYAMANYWA  BOB RICHARD,NUP,9021
,MUBENDE MUNICIPALITY,KIBUUKA  FRANCIS B AMOOTI,INDEPENDENT,2944
,MUBENDE MUNICIPALITY,KIRABO  JANE,INDEPENDENT,723
,MUBENDE MUNICIPALITY,MUSAASIZI  MOSES SSEMATA,INDEPENDENT,228
,MUBENDE MUNICIPALITY,MUYINI  RONALD,DP,58
MUKONO,MUKONO COUNTY NORTH,KIWANUKA  ABDALLAH,NUP,18680
,MUKONO COUNTY NORTH,KIBUULE  RONALD,NRM,8568
,MUKONO COUNTY NORTH,DRASI  ISAAC,INDEPENDENT,278
,MUKONO COUNTY NORTH,MUSOKE  THADEUS NAGENDA,ANT,209
,MUKONO COUNTY NORTH,KIKOMEKO  RONALD,DP,159
,MUKONO COUNTY NORTH,LUKUBIRA  MOSES BAKUBI,FDC,126
,MUKONO COUNTY NORTH,BUKENYA  ARTHUR,INDEPENDENT,114
MUKONO,MUKONO COUNTY SOUTH,KAYONDO  FRED,DP,26512
,MUKONO COUNTY SOUTH,MUYANJA  JOHNSON SSENYONGA,NRM,10922
,MUKONO COUNTY SOUTH,MALE  WILSON,NUP,4831
,MUKONO COUNTY SOUTH,LUKOOYA  FRANCIS MUKOOME,INDEPENDENT,722
,MUKONO COUNTY SOUTH,LULE  ANDREW,INDEPENDENT,382
MUKONO,MUKONO COUNTY SOUTH,BISASO  JAMES,FDC,278
MUKONO,MUKONO MUNICIPALITY,BAKIREKE  NAMBOOZE BETTY,NUP,38383
,MUKONO MUNICIPALITY,KAGIMU  GEORGE FRED,DP,16209
,MUKONO MUNICIPALITY,SSOZI  ABBAS,NRM,6167
,MUKONO MUNICIPALITY,NANKANJA  NDAGIRE HADIJA,INDEPENDENT,457
,MUKONO MUNICIPALITY,MBOGO  DUNSTAN EDDIE,FDC,355
,MUKONO MUNICIPALITY,NINSHABA  SEERAH,ANT,319
,MUKONO MUNICIPALITY,BUGEMBE  EDWARD BALIKUDDEMBE,INDEPENDENT,159
,MUKONO MUNICIPALITY,ZIRIMALA K.  FRED FESTO,INDEPENDENT,145
MUKONO,NAKIFUMA COUNTY,SSIMBWA  FRED,NUP,20072
,NAKIFUMA COUNTY,KAFEERO  SSEKITOLEKO ROBERT,NRM,12564
,NAKIFUMA COUNTY,MUJUUKA  PATRICK,INDEPENDENT,11545
,NAKIFUMA COUNTY,KIWANUKA  SULAIMAN,INDEPENDENT,6607
,NAKIFUMA COUNTY,BASIIMA  ZULIYA,INDEPENDENT,3171
,NAKIFUMA COUNTY,OLUNGI  PAUL,FDC,819
,NAKIFUMA COUNTY,NTWATWA  JOHN JACKSON,INDEPENDENT,358
,NAKIFUMA COUNTY,KAWOMBE  LAMEKA,DP,327
MUKONO,NAKIFUMA COUNTY,BATTE  SIRAJE,ANT,290
,NAKIFUMA COUNTY,KYEBATALA  JOHN,INDEPENDENT,196
NABILATUK,PIAN COUNTY,ACHIA REMIGIO,NRM,
NAKAPIRIPIRIT,CHEKWII COUNTY (KADAM),ALEPER  MOSES,NRM,8680
,CHEKWII COUNTY (KADAM),LONGOLI  SIMON PETER,INDEPENDENT,6367
,CHEKWII COUNTY (KADAM),ONYANG  SYLVESTER,INDEPENDENT,1723
,CHEKWII COUNTY (KADAM),LOKIRU  MOSES SYLVESTER,INDEPENDENT,509
NAKAPIRIPIRIT,CHEKWII EAST COUNTY,LOKERIS  TEKO PETER,NRM,3173
,CHEKWII EAST COUNTY,LOSURU  JOSHUA,INDEPENDENT,1689
,CHEKWII EAST COUNTY,ALEU  SAMSON,INDEPENDENT,1044
,CHEKWII EAST COUNTY,KALIBBALA  FRED,INDEPENDENT,76
,CHEKWII EAST COUNTY,LOMANAT  NATHAN OLUKET,INDEPENDENT,0
NAKASEKE,NAKASEKE CENTRAL COUNTY,MAYANJA  ALLAN,NUP,9298
,NAKASEKE CENTRAL COUNTY,BBUMBA  SYDA,NRM,7042
,NAKASEKE CENTRAL COUNTY,JAKANA  SULAYIMAN NADDULI,INDEPENDENT,700
,NAKASEKE CENTRAL COUNTY,KIYINGI  GODFREY,DP,293
,NAKASEKE CENTRAL COUNTY,SENFUMA  CHRISTOPHER,INDEPENDENT,56
NAKASEKE,NAKASEKE CENTRAL COUNTY,SSERWANGA  DENIS SETUMBA,ANT,39
NAKASEKE,NAKASEKE NORTH COUNTY,NYONGORE ENOCK,NRM,
NAKASEKE,NAKASEKE SOUTH COUNTY,LUTTAMAGUZI  SEMAKULA PAULSON KASANA,DP,26173
,NAKASEKE SOUTH COUNTY,NSEREKO  CHARLES KAWUMA BASAJJASSUBI,NRM,9886
,NAKASEKE SOUTH COUNTY,MUKIIBI  STEPHEN,FDC,236
NAKASONGOLA,BUDYEBO COUNTY,SEKYANZI  BENARD KIRYA,NRM,15138
,BUDYEBO COUNTY,SSEBBUGGA  KIMEZE BERUNADO,INDEPENDENT,8948
,BUDYEBO COUNTY,MUSOKE  NATHAN,NUP,1677
NAKASONGOLA,NAKASONGOLA COUNTY,MUTEBI  NOAH WANZALA,NRM,17220
,NAKASONGOLA COUNTY,KYEYUNE  IVAN,NUP,9326
,NAKASONGOLA COUNTY,MBANGIRE  FREDRICK,INDEPENDENT,2681
NAMAYINGO,BUKOOLI ISLAND COUNTY,OKEYOH  PETER,NRM,6055
,BUKOOLI ISLAND COUNTY,OUMA  GEORGE ABOTT,INDEPENDENT,5152
,BUKOOLI ISLAND COUNTY,JAMWA  WILFRED 'B' BALIKOWA,DP,491
,BUKOOLI ISLAND COUNTY,OUMA  DICKSON ODUNDO,NUP,385
NAMAYINGO,BUKOOLI SOUTH COUNTY,ADIDWA  ABDU,INDEPENDENT,4496
,BUKOOLI SOUTH COUNTY,MAYENDE  STEPHEN DEDE,INDEPENDENT,4450
NAMAYINGO,BUKOOLI SOUTH COUNTY,OUMA  JAMES PETER,ANT,3087
,BUKOOLI SOUTH COUNTY,MWASE  SALIM,FDC,2719
,BUKOOLI SOUTH COUNTY,BWIRE  DAVID,INDEPENDENT,2070
,BUKOOLI SOUTH COUNTY,BALIDAWA  PAUL STEVEN,NRM,1808
,BUKOOLI SOUTH COUNTY,WASIGE  AKIM WAMUDANYA,NUP,317
,BUKOOLI SOUTH COUNTY,OWERE  JOSEPH,INDEPENDENT,156
,BUKOOLI SOUTH COUNTY,WANDERA  IBRAHIM,INDEPENDENT,100
,BUKOOLI SOUTH COUNTY,WABWIRE  KENNETH,UPC,37
NAMAYINGO,NAMAYINGO SOUTH COUNTY,WANYAMA  MICHEAL ODWORI,NRM,8680
,NAMAYINGO SOUTH COUNTY,OCHIENG  PETER PATRICK,INDEPENDENT,5934
,NAMAYINGO SOUTH COUNTY,FIIDA  ROBERT,NUP,5416
,NAMAYINGO SOUTH COUNTY,OUMA  WILLY,INDEPENDENT,4695
,NAMAYINGO SOUTH COUNTY,GANDO  FRED,INDEPENDENT,802
,NAMAYINGO SOUTH COUNTY,BWIRE  JOHN KURAGA,JEEMA,687
,NAMAYINGO SOUTH COUNTY,EGESSA  JOAN OCHEN,INDEPENDENT,508
,NAMAYINGO SOUTH COUNTY,OGUTI  MARTIN,INDEPENDENT,484
,NAMAYINGO SOUTH COUNTY,MAYENDE  PATRICK,INDEPENDENT,407
NAMAYINGO,NAMAYINGO SOUTH COUNTY,NABWIRE  JULIET WANDERA,INDEPENDENT,232
NAMISINDWA,BUBULO EAST COUNTY,MUSILA  JOHN,INDEPENDENT,23876
,BUBULO EAST COUNTY,MATAYA  RICHARD,NRM,11569
,BUBULO EAST COUNTY,WATAKA  NATHAN,NUP,487
,BUBULO EAST COUNTY,NYOTE  DAVID INNOCENT,FDC,401
NAMISINDWA,NAMISINDWA COUNTY,MASIKA  APOLLO,NRM,10230
,NAMISINDWA COUNTY,WAMELI  ANTHONY YEBOAH,NUP,4047
,NAMISINDWA COUNTY,NAKHABALA  WILBROAD WANDENDE,INDEPENDENT,4041
,NAMISINDWA COUNTY,WOPUWA  JOHN BOSCO MUPUYA,INDEPENDENT,1652
,NAMISINDWA COUNTY,KUTOSI  ROGERS  KHABUSI,INDEPENDENT,476
,NAMISINDWA COUNTY,MULYALYA  STEPHEN,FDC,183
,NAMISINDWA COUNTY,MWELU  STEPHEN LUKUNYU,INDEPENDENT,115
NAMUTUMBA,BUKONO COUNTY,NAMUGANZA  PERSIS PRINCESS,NRM,10955
,BUKONO COUNTY,MAGANDA  EMMANUEL KATOKO,INDEPENDENT,10370
,BUKONO COUNTY,KAPYATA  DENNIS,INDEPENDENT,590
,BUKONO COUNTY,KIWANUKA  ABDU,NUP,423
,BUKONO COUNTY,MUKOSE  MOSES YONAH,FDC,64
NAMUTUMBA,BUKONO COUNTY,MUYINDA  PHILIP,DP,27
NAMUTUMBA,BUSIKI COUNTY,AKAMBA  PAUL,NRM,19470
,BUSIKI COUNTY,KASIISA  FRED,INDEPENDENT,8174
,BUSIKI COUNTY,DABADA  YUSUFU,NUP,4560
,BUSIKI COUNTY,MUKOSE  MOSES MUTABAALI,INDEPENDENT,332
,BUSIKI COUNTY,BASUTA  IBRAHIM,INDEPENDENT,294
,BUSIKI COUNTY,IVAIBI  HENRY,INDEPENDENT,244
,BUSIKI COUNTY,WAKIKU  LATIFU,INDEPENDENT,208
,BUSIKI COUNTY,MUYINDA  LASULI KIIRYA,INDEPENDENT,140
,BUSIKI COUNTY,TALIKULA  GODFREY,FDC,117
NAMUTUMBA,BUSIKI NORTH COUNTY,KAYOGERA  YONA,NRM,5069
,BUSIKI NORTH COUNTY,ASUPASA  ISIKO WILSON MPONGO,INDEPENDENT,3081
,BUSIKI NORTH COUNTY,MUGOYA  SEDURAKI,INDEPENDENT,1816
,BUSIKI NORTH COUNTY,MUWANGUZI  WILLY GEOFREY,INDEPENDENT,1393
,BUSIKI NORTH COUNTY,BALIGASIMA  HERBERT,INDEPENDENT,1096
,BUSIKI NORTH COUNTY,OBICHO  EDWARD,INDEPENDENT,422
,BUSIKI NORTH COUNTY,MUKISA  GODFREY,INDEPENDENT,398
NAMUTUMBA,BUSIKI NORTH COUNTY,WANTE  JAMALI LWANGA,FDC,161
,BUSIKI NORTH COUNTY,MAKA  PAUL,INDEPENDENT,125
,BUSIKI NORTH COUNTY,MUGABI  NOAH,ANT,79
,BUSIKI NORTH COUNTY,KIBWIKA  RICHARD,DP,36
NAPAK,BOKORA COUNTY,NGOYA  JOHN BOSCO,NRM,10723
,BOKORA COUNTY,ACHIA  TERENCE NACO,INDEPENDENT,6491
NAPAK,BOKORA EAST COUNTY,LOCHAP  PETERKHEN,NRM,13673
,BOKORA EAST COUNTY,APUUN  PATRICK LONGOLI,INDEPENDENT,4084
NEBBI,NEBBI MUNICIPALITY,HASHIM  SULAIMAN,NRM,4949
,NEBBI MUNICIPALITY,ONEGA  ROBERT,FDC,4472
,NEBBI MUNICIPALITY,OLAR  RONALD ALFRED,INDEPENDENT,675
,NEBBI MUNICIPALITY,RUVA  DENIS DONGE,INDEPENDENT,183
,NEBBI MUNICIPALITY,OSAGA  PATRICK JALACIDA,NUP,62
NEBBI,PADYERE COUNTY,OTIMGIW  ISAAC ISMAIL,NRM,28060
,PADYERE COUNTY,ANYWARACH  JOSHUA CARTER,INDEPENDENT,22730
,PADYERE COUNTY,OPIO  DERRICK UKUMU,INDEPENDENT,2258
,PADYERE COUNTY,JALUM  HENRY,FDC,1875
NEBBI,PADYERE COUNTY,PITHUA  GERALD,INDEPENDENT,1386
,PADYERE COUNTY,OCUL  GEOFFREY OKUMU,DP,1045
,PADYERE COUNTY,MANANO  CLAUDE,EPU,777
,PADYERE COUNTY,AKENDA  BENSON ULAMA,INDEPENDENT,761
,PADYERE COUNTY,KUMAKECH  WILFRED,NUP,690
NGORA,KAPIR COUNTY,ISAMAT  ABRAHAM,NRM,7703
,KAPIR COUNTY,EGUNYU  AKIROR JANE FRANCES AGNES,INDEPENDENT,5065
,KAPIR COUNTY,OKURUT  DAVID LIVINGSTONE,FDC,2214
,KAPIR COUNTY,EUMU  BENARD,INDEPENDENT,1632
,KAPIR COUNTY,OLEJA  JAMES,INDEPENDENT,329
,KAPIR COUNTY,OPOLOT  GABRIEL ONONGE,INDEPENDENT,129
NGORA,NGORA COUNTY,ACHAYO  JULIET LODOU,NRM,9517
,NGORA COUNTY,ABALA  DAVID,INDEPENDENT,9226
,NGORA COUNTY,EPETAIT  FRANCIS,FDC,395
,NGORA COUNTY,ONGODIA  PATRICK,INDEPENDENT,386
,NGORA COUNTY,OLUPOT  ISAAC,INDEPENDENT,76
,NGORA COUNTY,ARIKU  SILVER,NUP,55
NTOROKO,NTOROKO COUNTY,RWEMULIKYA  IBANDA,INDEPENDENT,10884
,NTOROKO COUNTY,BAHINDUKA  MUGARRA MARTIN,NRM,9963
,NTOROKO COUNTY,BALINDA  MOSES,INDEPENDENT,375
,NTOROKO COUNTY,ASIIMWE  MUKWENDA WILFRED BERNARD,DP,195
,NTOROKO COUNTY,KAIJA  NIKOLAS,FDC,89
,NTOROKO COUNTY,MUSUBULYA  DAVID,ANT,66
NTUNGAMO,KAJARA COUNTY,TIMUZIGU  KAMUGISHA MICHAEL,NRM,23471
,KAJARA COUNTY,ATUMANYA  ELIAKIM,INDEPENDENT,6719
,KAJARA COUNTY,BARYAHABWE  NABOTH,ANT,1771
,KAJARA COUNTY,MUTESA  ALEX,FDC,1497
,KAJARA COUNTY,MUHANGI ROBERT,INDEPENDENT,868
NTUNGAMO,NTUNGAMO MUNICIPALITY,MUSINGUZI  YONA,NRM,3278
,NTUNGAMO MUNICIPALITY,KARUHANGA  GERALD KAFUREEKA,ANT,2422
,NTUNGAMO MUNICIPALITY,BEYENDEZA  EDWARD,INDEPENDENT,463
,NTUNGAMO MUNICIPALITY,BISHANGA  MOSES,INDEPENDENT,349
,NTUNGAMO MUNICIPALITY,RUMANZI  PEREZ,FDC,69
,NTUNGAMO MUNICIPALITY,AMPEREZA  HILLARY,INDEPENDENT,37
NTUNGAMO,RUHAAMA COUNTY,NKWASIIBWE  ZINKURATIRE HENRY,NRM,47203
,RUHAAMA COUNTY,MUCUREEZI  GERALD,ANT,7407
,RUHAAMA COUNTY,KAMARADI  GUARD,INDEPENDENT,1442
,RUHAAMA COUNTY,NUWAGABA  ISAAC,FDC,1432
NTUNGAMO,RUHAAMA EAST COUNTY,KAMUKAMA  BENJAMIN,NRM,24417
,RUHAAMA EAST COUNTY,NAMANYA  SANTURINA KAKYENE,INDEPENDENT,10875
NTUNGAMO,RUSHENYI COUNTY,KABASHARIRA  NAOME,INDEPENDENT,22152
,RUSHENYI COUNTY,MWESIGWA  RUKUTANA,NRM,19417
,RUSHENYI COUNTY,KAHUMUZA  ELICK,INDEPENDENT,229
,RUSHENYI COUNTY,BIMANYWARUHANGA BENJAMIN,FDC,216
NWOYA,NWOYA COUNTY,AWANY  TONY,NRM,7294
,NWOYA COUNTY,OKELLO  PATRICK ORYEMA,INDEPENDENT,5165
,NWOYA COUNTY,ONONO  FRED,DP,642
,NWOYA COUNTY,OOLA  SAMUEL,ANT,392
NWOYA,NWOYA EAST COUNTY,OKELLO  GEOFREY CHARLES,DP,3856
,NWOYA EAST COUNTY,OYET  SIMON,FDC,3141
,NWOYA EAST COUNTY,OCEN  KENNETH OBWOT,NRM,2711
NWOYA,NWOYA EAST COUNTY,LUNGAJUL  JUSTINE OLOYA,INDEPENDENT,1028
,NWOYA EAST COUNTY,LOUM  PATRICK,NUP,449
,NWOYA EAST COUNTY,OOLA  JULIUS PETER KAKAYE,INDEPENDENT,306
,NWOYA EAST COUNTY,MWAKA  GEORGE WILLIAM,INDEPENDENT,206
,NWOYA EAST COUNTY,OJOK  EDWARD,INDEPENDENT,204
,NWOYA EAST COUNTY,OPENJURU  MAXWELL GODWIN LADAAH,INDEPENDENT,171
,NWOYA EAST COUNTY,OKUMU  MARTIN,ANT,124
OBONGI,OBONGI COUNTY,BHOKA  DIDI GEORGE,NRM,6726
,OBONGI COUNTY,FUNGAROO  KAPS HASSAN,FDC,5968
OMORO,OMORO COUNTY,OULANYAH  JACOB L'OKORI,NRM,12373
,OMORO COUNTY,OLAL  ANDREW P'OBONG,INDEPENDENT,5935
,OMORO COUNTY,ODONGA  TERENCE,FDC,1221
,OMORO COUNTY,OKOTH  SECONDO ABOK,NUP,452
,OMORO COUNTY,OKELLO  JULIUS OPIRA,ANT,212
,OMORO COUNTY,OLWENY  HILLARY BANYA,INDEPENDENT,206
OMORO,TOCHI COUNTY,OKOT  PETER,DP,8150
,TOCHI COUNTY,OBUTU  FRANCIS,NRM,4458
OMORO,TOCHI COUNTY,OTIM  LAKER EVELYN,INDEPENDENT,1347
,TOCHI COUNTY,OMULE  GEOFFREY,INDEPENDENT,1226
OTUKE,OTUKE COUNTY,OMARA  PAUL,INDEPENDENT,6681
,OTUKE COUNTY,OMARA  RICHARD,NRM,6442
,OTUKE COUNTY,OTIM  MOSES AUGUSTINE,UPC,1369
,OTUKE COUNTY,OBONG  DANIEL,INDEPENDENT,391
,OTUKE COUNTY,OKWANGA  GEOFFREY DICK,FDC,88
OTUKE,OTUKE EAST COUNTY,ACON  JULIUS BUA,NRM,9396
,OTUKE EAST COUNTY,OMARA  ATUBO DANIEL,INDEPENDENT,6185
,OTUKE EAST COUNTY,OGWAL  JACINTO DEUSDEDIT,INDEPENDENT,2073
,OTUKE EAST COUNTY,OKELLO  LEO MAWA,NUP,195
